"00 I can t resist her words","-1"
"01 Not a damn thing to eat in this house and I m starving","-1"
"03 56 The insomnia is back","-1"
"0304 Summer Wya Imy","-1"
"04 Cutest","-1"
"0412 omg how happy I am if its true","-1"
"05 aw i don t think i m going to omfg anymore the past couple events that i ve gone to i didn t really h","-1"
"0613 I m so upset I m not down there to see I t","-1"
"0613 Wanna cry cause of I couldn t be there","-1"
"07 Anna","-1"
"09 Love ya","-1"
"0HOUR1 No you Dindu Sheeeeit One tweet no trial Zap Neither fire nor flood Nor sleet nor snow Noth","-1"
"1 0 West Ham","-1"
"1 Fact about me I get jealous easily","-1"
"1 He did","-1"
"1 I know it was snowing in Jackson but we got no snow","-1"
"1 I literally talk to no one","-1"
"1 I miss","-1"
"1 In a little over 6 months","-1"
"1 Johnny Hallyday the only French rock star is passed away","-1"
"1 LOML 2 amp 3 old news","-1"
"1 No charge","-1"
"1 You are in fatigue 2 Your opponent has 10 cards because of 2 Naturalize 3 Play King Togwaggle your opponent is in f","-1"
"1 You stole this from me so I m calling the cops 2 Get away from Chicken Hell please","-1"
"1 a burger","-1"
"1 a day ffs","-1"
"1 amany thank you so much my sweetheart","-1"
"1 amp a half pints last night amp I feel like I ve been on a 12 hour long sesh What has happened to me","-1"
"1 d e e Aidee Omg look que gorda estaba Lol te extra o Im so thankful to have you as a friend you re th","-1"
"1 d e e Aidee Omg look que gorda estaba Lol te extra o Im so thankful to have you as a friend you re the swe","-1"
"1 day is not enough for me to study 2 subjects that i can t understand","-1"
"1 day left imma turn 16","-1"
"1 month exactly until i turn 20","-1"
"1 please do xx","-1"
"1 week","-1"
"1 year down 17 more to go until you re mine Happy Birthday Noah","-1"
"10 10 love you ii","-1"
"10 No you re private","-1"
"10 am latur fuuuuuuck","-1"
"10 inches of snow in Atlanta but our powers been out for hours now so","-1"
"10 minutes late","-1"
"10 years have passed today but you re always in my heart p big r i p instagram instapic","-1"
"100 Tula Para kay Stella broke my heart then some sort of realizations came up","-1"
"1000 words left 5 hours to go","-1"
"100lbs not good","-1"
"1024 why is my anxiety so high right now","-1"
"1055 Honestly","-1"
"107JOTAE Love you sweetheart","-1"
"11 11 HAPPINESS","-1"
"11 11 I miss your everything","-1"
"11 11 L amp happiness","-1"
"11 11 be mine again pls","-1"
"11 11 find a way to go glasgow on the 17th of this month for rt amp harv amp go","-1"
"11 11 freedom","-1"
"11 11 happiness","-1"
"11 11 happiness please","-1"
"11 11 his pain","-1"
"11 11 holla at me","-1"
"11 11 i wish where here","-1"
"11 11 idk uh money gifts this xmas family frenz nd u","-1"
"11 11 meet","-1"
"11 11 missed","-1"
"11 11 permanent happiness please","-1"
"11 11 usuals n meet mcfly n 5sos n e amp g n get barrier amp good pics at rt amp harv tour dates this month","-1"
"11 Divya wild card me","-1"
"11 Me toooooo","-1"
"11 hours ago","-1"
"11 how am I supposed to get out bed when this is what s waiting on the outside","-1"
"12 Happy birthday sweet heart","-1"
"12 Justice League eh","-1"
"12 chapters Raj s POV left JonaxxSOTKab28","-1"
"12 days to go until This Warlock is another year Older","-1"
"12 fuck outta here i don t even have a pair of boots so wtf i m supposed to do","-1"
"12daysofnicholsons sharing thank you for a xmascracker of a giveaway fingers crossed tightly here x","-1"
"12hrs duty kagad on monday","-1"
"13 Anyare sayo You didn t tell me","-1"
"13 I saw this on fb and it broke my heart the snowman even has un girasol","-1"
"13 Im so stressed i hate finals week and it hasn t even started","-1"
"13 Yeah Like sometimes when everyone can joke about ib logics It s just funny Ye 3 couples ne toh tag ki","-1"
"13 i really miss","-1"
"132 000 acres burned and 10 contained","-1"
"14 I didn t take any but I ll try tomorrow","-1"
"14 I feel so vulnerable when I m sick just need someone to lay with me and play with my hair until I fall asleep","-1"
"14 When Lauren said she could look better than the Clermont Twins","-1"
"14 it is really the most beautiful day outside and i m stuck inside studying","-1"
"14 science and tle","-1"
"15 I m sick alone and freezing my ass off can today just be over","-1"
"15 oh naw brother she getting down with the get down Too bad she s in Canada","-1"
"1509 WorldLive In that case I won t be able to go wayyy to far away from me x did you go in October","-1"
"15th par 3 at today didn t allow for the green sloping to the left unfortunately soclose","-1"
"16 Dude same","-1"
"16 We did have one recently but it has now expired Keep an eye out for any in the future though","-1"
"17 I want to go to Disneyland","-1"
"17 Whattttt happy I at least got to spend fall ball on the bench with you Good luck","-1"
"17 by MK reminds me of old times","-1"
"17 days until my due date I really wish he could come already","-1"
"17 everyone is enjoying being at home and my exams haven t even started yet","-1"
"17 you work hard too much leader nim GetWellSoonSCOUPS","-1"
"170613 CUTIE JIN","-1"
"171124 Shilla Beauty Concert Jonghyun SHINee I don t want to see a sad face","-1"
"18 Same","-1"
"18 Wtffff corny","-1"
"18 years old and I literally cannot stand being home alone","-1"
"182 ugh I feel like they are giving away too much now","-1"
"1863 x Sorry to be brief but Waiter Duties prevailed","-1"
"19 edgy emo","-1"
"19 mins left Countdown may nahitabo","-1"
"1909 Oh mist","-1"
"1979 Got that right Nothin here in South Ont tho","-1"
"1984 Yoh askies","-1"
"199 Wow sorry to hear that","-1"
"1997 R1 me too","-1"
"19999 Am I the only one that didn t take pictures in the snow","-1"
"1D Fan Not sad mad","-1"
"1YearForBlockbusterDhruva strong areas ceded nellore lo demonetization valla under performed","-1"
"1am i want lasagna","-1"
"1am thoughts","-1"
"1st meet awkward","-1"
"1x96 I really need to learn how to manage my money","-1"
"2 14 3pt Steph Curry get well soon Go Warriors","-1"
"2 24am and i cant sleep bc im not on the phone with kam","-1"
"2 25 missing my life bck in the Ph","-1"
"2 4 correct The NEC game was abandoned no clue why ah well 50 on my first tip is alright for me Will maybe","-1"
"2 43 am and feeling like shit","-1"
"2 5 StarWarsEpisode2 AttackOfTheClones a SadTale of GoodIntentions plagued with poor story telling amp an Ove","-1"
"2 6 Wow what a weaving run by Kammies who bursts into the area but he has no teammate to pass to 0 0","-1"
"2 I NEED A NEW PHONE","-1"
"2 Popeyes rn would really come in clutch","-1"
"2 Wow Can t believe what I just saw","-1"
"2 exams today","-1"
"2 hours","-1"
"2 or 15 train gt","-1"
"2 weeks","-1"
"2 weeks ago","-1"
"2 weeks too many","-1"
"200 000 people had to flee from cali","-1"
"2001 Actually beyond excited for the CelebrityCyclone breaks my heart that I ll never be able to do it in my life ImA","-1"
"2012 If he breached the law he may be fine up to RM10k So he will lose his parliamentary seat","-1"
"2014 Main gate bus bombing CMUneverforgets","-1"
"2016 Due to the bad weather we have decided to close today please call us tomorrow to re book your Christmas Lunch","-1"
"2017 Sometimes there are technical limitations Sorry","-1"
"2017 has been such a rough year for my family man","-1"
"2017 has been the worst year of my entire life","-1"
"2017 just keeps dropping these bombs right before the year ends","-1"
"2017 regret cutting my hair this short","-1"
"2017 s almost over but I m still fat and ugly and haven t saved any money","-1"
"2017 was kind of a disappointing year","-1"
